,tconst,isAdult,startYear,runtimeMinutes,genre_1,genre_2,genre_3,directors,title,averageRating,numVotes,primaryName
5917,tt0074121,0,1976,85,Animation,Comedy,Fantasy,nm0102547,Allegro non troppo,7.4,3071,Bruno Bozzetto
5918,tt0078287,0,1977,80,Adventure,Animation,,nm0102547,Les rêves de Monsieur Rossi,7.5,160,Bruno Bozzetto
5919,tt0203908,0,1976,80,Adventure,Animation,Sci-Fi,nm0102547,Le bonheur de Monsieur Rossi,7.8,356,Bruno Bozzetto
5920,tt0283107,0,1976,84,Adventure,Animation,,nm0102547,Les vacances de M. Rossi,7.4,160,Bruno Bozzetto
5921,tt0074142,0,1976,108,Comedy,Drama,,nm0261594,L'anachorète,6.8,197,Juan Estelrich
5922,tt0074143,0,1976,87,Comedy,Romance,,nm0321676,Andréa,7.3,18,Henri Glaeser
5923,tt0153438,0,1973,86,Drama,,,nm0321676,Une larme dans l'océan,8.5,16,Henri Glaeser
5924,tt0074148,0,1976,86,Action,Adventure,Fantasy,nm0496459,La révolte de Kong,2.6,1886,Paul Leder
5925,tt0078274,0,1978,91,Crime,Drama,Thriller,nm0496459,Paranoid,4.4,49,Paul Leder
5926,tt0074176,0,1976,98,Western,,,nm0206767,La loi de la montagne,5.8,260,Lyman Dayton
5927,tt0095778,0,1988,84,Drama,Family,,nm0206767,A la recherche de l'oncle Jack,6.6,541,Lyman Dayton
5928,tt0074179,0,1976,94,Comedy,,,nm0401201,"Mister Boo, détective privé",7.0,818,Michael Hui
5929,tt0077892,0,1978,96,Comedy,,,nm0401201,Mister Boo fait de la télévision,6.5,323,Michael Hui
5930,tt0088268,0,1984,89,Comedy,Romance,,nm0401201,Une belle brochette,5.8,200,Michael Hui
5931,tt0074186,0,1976,96,Drama,,,nm0740067,Bartleby,7.9,88,Maurice Ronet
5932,tt0074187,0,1976,88,Documentary,History,,nm0350099,La bataille du Chili (2eme partie: Le coup d'état),8.2,1160,Patricio Guzmán
5933,tt0078831,0,1979,80,Documentary,History,,nm0350099,La bataille du Chili,7.7,936,Patricio Guzmán
5934,tt0074197,0,1978,97,Comedy,,,nm0751675,Poupées sur canapé,4.4,39,Luigi Russo
5935,tt0131533,0,1979,85,Comedy,,,nm0751675,Pension pour jeunes filles,5.1,80,Luigi Russo
5936,tt0074198,0,1977,95,Drama,,,nm0217855,Ben et Bénédict,4.7,9,Paula Delsol
5937,tt0074205,0,1976,88,Action,Comedy,,nm0292419,Le bus en folie,5.6,3472,James Frawley
5938,tt0079588,0,1979,95,Adventure,Comedy,Family,nm0292419,Les Muppets : Ça c'est du cinéma !,7.6,37282,James Frawley
5939,tt0074207,0,1976,110,Comedy,Sport,,nm0000824,The Bingo Long Traveling All-Stars & Motor Kings,6.8,2009,John Badham
5940,tt0076666,0,1977,118,Drama,Music,,nm0000824,La Fièvre du samedi soir,6.8,82940,John Badham
5941,tt0079073,0,1979,109,Drama,Horror,Romance,nm0000824,Dracula,6.5,10440,John Badham
5942,tt0083326,0,1981,119,Comedy,Drama,,nm0000824,"C'est ma vie, après tout!",7.3,3439,John Badham
5943,tt0085255,0,1983,109,Action,Crime,Drama,nm0000824,Tonnerre de feu,6.4,22122,John Badham
5944,tt0086567,0,1983,114,Action,Drama,Sci-Fi,nm0000824,WarGames,7.1,103550,John Badham
5945,tt0088707,0,1985,113,Drama,Sport,,nm0000824,Le prix de l'exploit,6.4,6314,John Badham
5946,tt0091949,0,1986,98,Comedy,Family,Sci-Fi,nm0000824,Short Circuit,6.6,63700,John Badham
5947,tt0094025,0,1987,117,Action,Comedy,Crime,nm0000824,Étroite surveillance,6.7,27481,John Badham
